ra,dec,type,const,mag,name,rarad,decrad,id,r1,r2,angle,dso_source,id1,cat1,id2,cat2,dupid,dupcat,display_mag
18.0391,-23.0272,OC+Neb,Sgr,6.3,Trifid nebula,4.72264,-0.401901,10999,20,20,,2,20,M,6514,NGC,,,
18.0614,-24.3803,Neb,Sgr,5.8,,4.72848,-0.425516,11009,45,30,,2,8,M,6523,NGC,,,
18.0704,-22.49,OC,Sgr,5.9,,4.73082,-0.392525,11012,15,,,2,21,M,6531,NGC,,,
18.3134,-13.8072,OC+Neb,Ser,6,,4.79443,-0.240981,11131,120,25,,2,16,M,6611,NGC,,,
18.3329,-17.1019,OC,Sgr,6.9,,4.79954,-0.298485,11137,9,,,2,18,M,6613,NGC,,,
18.3464,-16.1717,OC+Neb,Sgr,6,Omega nebula,4.80308,-0.282249,11140,20,15,,2,17,M,6618,NGC,,,
18.4091,-24.87,GC,Sgr,6.9,,4.81949,-0.434063,11154,11,,,2,28,M,6626,NGC,,,
18.5231,-32.3481,GC,Sgr,7.7,,4.84934,-0.56458,11183,7.1,,,2,69,M,6637,NGC,,,
18.5267,-19.25,OC,Sgr,4.6,,4.85027,-0.335976,11185,32,,,1,25,M,4725,IC,,,
18.6067,-23.9033,GC,Sgr,5.2,,4.87122,-0.417192,11223,24,,,2,22,M,6656,NGC,,,
18.7201,-32.2919,GC,Sgr,7.8,,4.90092,-0.563601,11268,7.8,,,2,70,M,6681,NGC,,,
18.7552,-9.38361,OC,Sct,8,,4.91009,-0.163775,11280,14,,,2,26,M,6694,NGC,,,
18.8516,-6.27,OC,Sct,5.8,Wild Duck cluster,4.93535,-0.109432,11314,13,,,2,11,M,6705,NGC,,,
18.893,33.0286,PN,Lyr,8.8,Ring nebula in Lyra,4.94618,0.576458,11325,1.43333,1.03333,,2,57,M,6720,NGC,,,
18.9176,-30.4783,GC,Sgr,7.7,,4.95261,-0.531947,11329,9.1,,,2,54,M,6715,NGC,,,
19.2765,30.1847,GC,Lyr,8.4,,5.04658,0.526823,11440,7.1,,,2,56,M,6779,NGC,,,
19.6665,-30.9622,GC,Sgr,6.3,,5.14867,-0.540393,11524,19,,,2,55,M,6809,NGC,,,
19.8961,18.7783,GC,Sge,8.4,,5.2088,0.327744,11574,7.2,,,2,71,M,6838,NGC,,,
19.9934,22.7214,PN,Vul,7.4,,5.23426,0.396563,11604,8,5.7,,2,27,M,6853,NGC,,,
20.1013,-21.9214,GC,Sgr,8.6,,5.26251,-0.3826,11641,6,,,2,75,M,6864,NGC,,,
20.3994,38.5078,OC,Cyg,6.6,,5.34054,0.672087,11758,10,,,2,29,M,6913,NGC,,,
20.8911,-12.5369,GC,Aqr,9.2,,5.46927,-0.218811,11913,5.9,,,2,72,M,6981,NGC,,,
20.9822,-12.6356,Ast,Aqr,8.9,,5.49313,-0.220532,11937,2.8,,,2,73,M,6994,NGC,,,
21.4996,12.1667,GC,Peg,6.3,,5.62857,0.212348,12105,12,,,2,15,M,7078,NGC,,,
21.5301,48.4486,OC,Cyg,4.6,,5.63656,0.845588,12116,31,,,2,39,M,7092,NGC,,,
21.5581,-0.823056,GC,Aqr,6.6,,5.64391,-0.014365,12123,13,,,2,2,M,7089,NGC,,,
21.6728,-23.1792,GC,Cap,6.9,,5.67391,-0.404553,12152,11,,,2,30,M,7099,NGC,,,
23.414,61.6067,OC,Cas,6.9,,6.12977,1.07524,12982,16,,,2,52,M,7654,NGC,,,
18.27,-18.47,GxyCld,Sgr,4.6,Sagittarius Star Cloud,4.78307,-0.322362,13227,90,90,,0,24,M,,,,,
3.79,24.117,OC,Tau,1.6,Pleiades,0.99222,0.420921,13228,110,110,,0,45,M,,,,,
12.3701,58.0831,**,UMa,9.2,Winnecke 4,3.23849,1.01374,13232,,,,0,40,M,,,,,
